residue,is_persisting_lane,single_lane_capture,tiled_capture
0,False,False,False
1,True,True,True
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,True,False,True
8,False,False,False
9,False,False,False
10,False,False,False
11,True,False,True
12,False,False,False
13,True,False,True
14,False,False,False
15,False,False,False
16,False,False,False
17,True,False,True
18,False,False,False
19,True,False,True
20,False,False,False
21,False,False,False
22,False,False,False
23,True,False,True
24,False,False,False
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,False
29,True,False,True
