n,mod30_residue,inside_mod30_gate,F_group_A_r1_7,F_group_B_r11_13,F_group_C_r17_19,F_group_D_r23_29
1,1,True,1,0,0,0
2,2,False,0,0,0,0
3,3,False,0,0,0,0
4,4,False,0,0,0,0
5,5,False,0,0,0,0
6,6,False,0,0,0,0
7,7,True,1,0,0,0
8,8,False,0,0,0,0
9,9,False,0,0,0,0
10,10,False,0,0,0,0
11,11,True,0,1,0,0
12,12,False,0,0,0,0
13,13,True,0,1,0,0
14,14,False,0,0,0,0
15,15,False,0,0,0,0
16,16,False,0,0,0,0
17,17,True,0,0,1,0
18,18,False,0,0,0,0
19,19,True,0,0,1,0
20,20,False,0,0,0,0
21,21,False,0,0,0,0
22,22,False,0,0,0,0
23,23,True,0,0,0,1
24,24,False,0,0,0,0
25,25,False,0,0,0,0
26,26,False,0,0,0,0
27,27,False,0,0,0,0
28,28,False,0,0,0,0
29,29,True,0,0,0,1
30,0,False,0,0,0,0
31,1,True,1,0,0,0
32,2,False,0,0,0,0
33,3,False,0,0,0,0
34,4,False,0,0,0,0
35,5,False,0,0,0,0
36,6,False,0,0,0,0
37,7,True,1,0,0,0
38,8,False,0,0,0,0
39,9,False,0,0,0,0
40,10,False,0,0,0,0
41,11,True,0,1,0,0
42,12,False,0,0,0,0
43,13,True,0,1,0,0
44,14,False,0,0,0,0
45,15,False,0,0,0,0
46,16,False,0,0,0,0
47,17,True,0,0,1,0
48,18,False,0,0,0,0
49,19,True,0,0,1,0
50,20,False,0,0,0,0
51,21,False,0,0,0,0
52,22,False,0,0,0,0
53,23,True,0,0,0,1
54,24,False,0,0,0,0
55,25,False,0,0,0,0
56,26,False,0,0,0,0
57,27,False,0,0,0,0
58,28,False,0,0,0,0
59,29,True,0,0,0,1
60,0,False,0,0,0,0
61,1,True,1,0,0,0
62,2,False,0,0,0,0
63,3,False,0,0,0,0
64,4,False,0,0,0,0
65,5,False,0,0,0,0
66,6,False,0,0,0,0
67,7,True,1,0,0,0
68,8,False,0,0,0,0
69,9,False,0,0,0,0
70,10,False,0,0,0,0
71,11,True,0,1,0,0
72,12,False,0,0,0,0
