n,mod30_residue,inside_mod30_gate,F_single_lane_r1
1,1,True,1
2,2,False,0
3,3,False,0
4,4,False,0
5,5,False,0
6,6,False,0
7,7,True,0
8,8,False,0
9,9,False,0
10,10,False,0
11,11,True,0
12,12,False,0
13,13,True,0
14,14,False,0
15,15,False,0
16,16,False,0
17,17,True,0
18,18,False,0
19,19,True,0
20,20,False,0
21,21,False,0
22,22,False,0
23,23,True,0
24,24,False,0
25,25,False,0
26,26,False,0
27,27,False,0
28,28,False,0
29,29,True,0
30,0,False,0
31,1,True,1
32,2,False,0
33,3,False,0
34,4,False,0
35,5,False,0
36,6,False,0
37,7,True,0
38,8,False,0
39,9,False,0
40,10,False,0
41,11,True,0
42,12,False,0
43,13,True,0
44,14,False,0
45,15,False,0
46,16,False,0
47,17,True,0
48,18,False,0
49,19,True,0
50,20,False,0
51,21,False,0
52,22,False,0
53,23,True,0
54,24,False,0
55,25,False,0
56,26,False,0
57,27,False,0
58,28,False,0
59,29,True,0
60,0,False,0
61,1,True,1
62,2,False,0
63,3,False,0
64,4,False,0
65,5,False,0
66,6,False,0
67,7,True,0
68,8,False,0
69,9,False,0
70,10,False,0
71,11,True,0
72,12,False,0
73,13,True,0
74,14,False,0
75,15,False,0
76,16,False,0
77,17,True,0
78,18,False,0
79,19,True,0
80,20,False,0
81,21,False,0
82,22,False,0
83,23,True,0
84,24,False,0
85,25,False,0
86,26,False,0
87,27,False,0
88,28,False,0
89,29,True,0
90,0,False,0
91,1,True,1
92,2,False,0
93,3,False,0
94,4,False,0
95,5,False,0
96,6,False,0
97,7,True,0
98,8,False,0
99,9,False,0
100,10,False,0
101,11,True,0
102,12,False,0
103,13,True,0
104,14,False,0
105,15,False,0
106,16,False,0
107,17,True,0
108,18,False,0
109,19,True,0
110,20,False,0
111,21,False,0
112,22,False,0
113,23,True,0
114,24,False,0
115,25,False,0
116,26,False,0
117,27,False,0
118,28,False,0
119,29,True,0
120,0,False,0
121,1,True,1
122,2,False,0
123,3,False,0
124,4,False,0
125,5,False,0
126,6,False,0
127,7,True,0
128,8,False,0
129,9,False,0
130,10,False,0
131,11,True,0
132,12,False,0
133,13,True,0
134,14,False,0
135,15,False,0
136,16,False,0
137,17,True,0
138,18,False,0
139,19,True,0
140,20,False,0
141,21,False,0
142,22,False,0
143,23,True,0
144,24,False,0
145,25,False,0
146,26,False,0
147,27,False,0
148,28,False,0
149,29,True,0
150,0,False,0
151,1,True,1
152,2,False,0
153,3,False,0
154,4,False,0
155,5,False,0
156,6,False,0
157,7,True,0
158,8,False,0
159,9,False,0
160,10,False,0
161,11,True,0
162,12,False,0
163,13,True,0
164,14,False,0
165,15,False,0
166,16,False,0
167,17,True,0
168,18,False,0
169,19,True,0
170,20,False,0
171,21,False,0
172,22,False,0
173,23,True,0
174,24,False,0
175,25,False,0
176,26,False,0
177,27,False,0
178,28,False,0
179,29,True,0
180,0,False,0
181,1,True,1
182,2,False,0
183,3,False,0
184,4,False,0
185,5,False,0
186,6,False,0
187,7,True,0
188,8,False,0
189,9,False,0
190,10,False,0
191,11,True,0
192,12,False,0
193,13,True,0
194,14,False,0
195,15,False,0
196,16,False,0
197,17,True,0
198,18,False,0
199,19,True,0
200,20,False,0
201,21,False,0
202,22,False,0
203,23,True,0
204,24,False,0
205,25,False,0
206,26,False,0
207,27,False,0
208,28,False,0
209,29,True,0
210,0,False,0
211,1,True,1
212,2,False,0
213,3,False,0
214,4,False,0
215,5,False,0
216,6,False,0
217,7,True,0
218,8,False,0
219,9,False,0
220,10,False,0
221,11,True,0
222,12,False,0
223,13,True,0
224,14,False,0
225,15,False,0
226,16,False,0
227,17,True,0
228,18,False,0
229,19,True,0
230,20,False,0
231,21,False,0
232,22,False,0
233,23,True,0
234,24,False,0
235,25,False,0
236,26,False,0
237,27,False,0
238,28,False,0
239,29,True,0
240,0,False,0
241,1,True,1
242,2,False,0
243,3,False,0
244,4,False,0
245,5,False,0
246,6,False,0
247,7,True,0
248,8,False,0
249,9,False,0
250,10,False,0
251,11,True,0
252,12,False,0
253,13,True,0
254,14,False,0
255,15,False,0
256,16,False,0
257,17,True,0
258,18,False,0
259,19,True,0
260,20,False,0
261,21,False,0
262,22,False,0
263,23,True,0
264,24,False,0
265,25,False,0
266,26,False,0
267,27,False,0
268,28,False,0
269,29,True,0
270,0,False,0
271,1,True,1
272,2,False,0
273,3,False,0
274,4,False,0
275,5,False,0
276,6,False,0
277,7,True,0
278,8,False,0
279,9,False,0
280,10,False,0
281,11,True,0
282,12,False,0
283,13,True,0
284,14,False,0
285,15,False,0
286,16,False,0
287,17,True,0
288,18,False,0
289,19,True,0
290,20,False,0
291,21,False,0
292,22,False,0
293,23,True,0
294,24,False,0
295,25,False,0
296,26,False,0
297,27,False,0
298,28,False,0
299,29,True,0
300,0,False,0
