setting,latent_dim,top_k,latent_index,activation_count,purity,status
L1-k1,1,1,0,0.0,0.0,dead
L4-k1,4,1,0,150.0,0.3807753324508667,useful
L4-k1,4,1,1,250.0,0.25627848505973816,redundant
L4-k1,4,1,2,0.0,0.0,dead
L4-k1,4,1,3,0.0,0.0,dead
L8-k1,8,1,0,0.0,0.0,dead
L8-k1,8,1,1,150.0,0.39963197708129883,useful
L8-k1,8,1,2,0.0,0.0,dead
L8-k1,8,1,3,100.0,0.6763082146644592,useful
L8-k1,8,1,4,0.0,0.0,dead
L8-k1,8,1,5,0.0,0.0,dead
L8-k1,8,1,6,0.0,0.0,dead
L8-k1,8,1,7,150.0,0.4024081826210022,useful
L8-k2,8,2,0,165.0,0.47056031227111816,useful
L8-k2,8,2,1,0.0,0.0,dead
L8-k2,8,2,2,0.0,0.0,dead
L8-k2,8,2,3,0.0,0.0,dead
L8-k2,8,2,4,0.0,0.0,dead
L8-k2,8,2,5,200.0,0.3920592963695526,useful
L8-k2,8,2,6,350.0,0.25313079357147217,redundant
L8-k2,8,2,7,50.0,1.0000001192092896,useful
L12-k1,12,1,0,0.0,0.0,dead
L12-k1,12,1,1,0.0,0.0,dead
L12-k1,12,1,2,0.0,0.0,dead
L12-k1,12,1,3,150.0,0.4741150736808777,useful
L12-k1,12,1,4,0.0,0.0,dead
L12-k1,12,1,5,0.0,0.0,dead
L12-k1,12,1,6,50.0,1.0000001192092896,useful
L12-k1,12,1,7,50.0,1.0,useful
L12-k1,12,1,8,0.0,0.0,dead
L12-k1,12,1,9,100.0,0.6133927702903748,useful
L12-k1,12,1,10,0.0,0.0,dead
L12-k1,12,1,11,50.0,1.0,useful
L12-k2,12,2,0,50.0,1.0,useful
L12-k2,12,2,1,0.0,0.0,dead
L12-k2,12,2,2,0.0,0.0,dead
L12-k2,12,2,3,0.0,0.0,dead
L12-k2,12,2,4,0.0,0.0,dead
L12-k2,12,2,5,200.0,0.4090295732021332,useful
L12-k2,12,2,6,0.0,0.0,dead
L12-k2,12,2,7,150.0,0.5732952356338501,useful
L12-k2,12,2,8,200.0,0.4219647943973541,useful
L12-k2,12,2,9,200.0,0.35245251655578613,useful
L12-k2,12,2,10,0.0,0.0,dead
L12-k2,12,2,11,0.0,0.0,dead
