model,setting,total_components,reconstruction_error,activation_sparsity,mean_lane_purity,max_lane_purity,captured_lanes,coverage_fraction,total_activations,redundancy,effective_features,active_features,dead_features,useful_features,redundant_features,active_feature_fraction,dead_feature_fraction,useful_feature_fraction,redundant_feature_fraction,recovered_residues,missed_residues
NMF,NMF-1,1,0.7320045828819275,0.0,0.18064819276332855,0.18064819276332855,0,0.0,400.0,inf,0.0,1,0,0,1,1.0,0.0,0.0,1.0,[],"[1, 7, 11, 13, 17, 19, 23, 29]"
NMF,NMF-4,4,0.47798722982406616,0.52375,0.484291635453701,0.5420867800712585,4,0.5,762.0,190.5,1.0,4,0,4,0,1.0,0.0,1.0,0.0,"[7, 13, 19, 29]","[1, 11, 17, 23]"
NMF,NMF-8,8,0.37117239832878113,0.636875,0.4753097891807556,0.7410740852355957,6,0.75,1162.0,193.66666666666666,0.75,6,2,6,0,0.75,0.25,0.75,0.0,"[1, 7, 13, 17, 23, 29]","[11, 19]"
NMF,NMF-12,12,0.3460301160812378,0.6939583333333333,0.3323506476978461,0.7503018975257874,6,0.75,1469.0,244.83333333333334,0.5,7,5,6,1,0.5833333333333334,0.4166666666666667,0.5,0.08333333333333333,"[1, 7, 13, 17, 23, 29]","[11, 19]"
SAE,SAE-L1-k1,1,0.7604660391807556,1.0,0.0,0.0,0,0.0,0.0,inf,0.0,0,1,0,0,0.0,1.0,0.0,0.0,[],"[1, 7, 11, 13, 17, 19, 23, 29]"
SAE,SAE-L4-k1,4,0.5455697774887085,0.75,0.15926345437765121,0.3807753324508667,1,0.125,400.0,400.0,0.25,2,2,1,1,0.5,0.5,0.25,0.25,[17],"[1, 7, 11, 13, 19, 23, 29]"
SAE,SAE-L8-k1,8,0.48404282331466675,0.875,0.18479354679584503,0.6763082146644592,3,0.375,400.0,133.33333333333334,0.375,3,5,3,0,0.375,0.625,0.375,0.0,"[1, 7, 11]","[13, 17, 19, 23, 29]"
SAE,SAE-L8-k2,8,0.42181551456451416,0.7609375,0.26446881517767906,1.0000001192092896,3,0.375,765.0,255.0,0.375,4,4,3,1,0.5,0.5,0.375,0.125,"[13, 23, 29]","[1, 7, 11, 17, 19]"
SAE,SAE-L12-k1,12,0.3786712884902954,0.9166666666666666,0.3406256635983785,1.0000001192092896,5,0.625,400.0,80.0,0.4166666666666667,5,7,5,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.0,"[13, 17, 19, 23, 29]","[1, 7, 11]"
SAE,SAE-L12-k2,12,0.362438440322876,0.8333333333333334,0.22972850998242697,1.0,5,0.625,800.0,160.0,0.4166666666666667,5,7,5,0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.0,"[1, 11, 13, 23, 29]","[7, 17, 19]"
